ID,duration,mix1_wav,mix1_wav_format,mix1_wav_opts,mix2_wav,mix2_wav_format,mix2_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,s3_wav,s3_wav_format,s3_wav_opts,s4_wav,s4_wav_format,s4_wav_opts
1,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0001/source/source-4.wav,wav,
2,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0003/source/source-4.wav,wav,
3,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0004/source/source-4.wav,wav,
4,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0006/source/source-4.wav,wav,
5,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0011/source/source-4.wav,wav,
6,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0014/source/source-4.wav,wav,
7,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0017/source/source-4.wav,wav,
8,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0019/source/source-4.wav,wav,
9,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0022/source/source-4.wav,wav,
10,1,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/array/mixture-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/array/mixture-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/source/source-1.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/source/source-2.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/source/source-3.wav,wav,,/mnt/lv3/fuyuxiang/dataset/sb_sep/development_set/Z01/0023/source/source-4.wav,wav,
